abate: abate,abated
sum: sum,sums
summary: summary
summer: summer,summers
summerset: summerset
summon: summoned
sun: sun,suns
sunbeam: sunbeams
sunburnt: sunburnt
sunrise: sunrise
sunset: sunset
sunshine: sunshine
superficies: superficies
superior: superior
superiority: superiority
supper: supper
supplicate: supplicating
supplicating: supplicating
supply: supplied,supply,supplying
support: support,supported,supporting
supportable: supportable
suppose: suppose,supposed,supposing
supposition: supposition,suppositions
suppress: suppressing
surat: surat
surface: surface
surgeon: surgeon,surgeons
surprise: surprise,surprised
surprised: surprised
surprising: surprising
surround: surround,surrounded
survey: survey,surveyed
survive: survive
suspect: suspect,suspected,suspecting
suspend: suspended
suspicion: suspicion,suspicions
sustain: sustain,sustained
sustenance: sustenance
swagger: swagger
swallow: swallow,swallowed
swam: swam
swamp: swamp
swan: swan
sway: swayed
swear: swear,swearing,swore
swearer: swearers
sweat: sweat
sweep: swept
sweet: sweet,sweeter
sweetmeat: sweetmeats
swell: swelled
swerve: swerve,swerved
swift: swift
swiftness: swiftness
swim: swam,swim,swimming,swims
swimmer: swimmer
swimming: swimming
swine: swine
swoon: swoon,swooned
sword: sword,swords
syllable: syllable,syllables
synonymous: synonymous
table: table,tables
tack: tack,tacks
tackle: tackling
taction: taction
tail: tail,tails
tailor: tailor,tailors
tale: tales
talent: talent,talents
talk: talk,talked,talking
talkative: talkative
talker: talkers
tall: tall,taller,tallest
tallow: tallow
tally: tally
talon: talons
tame: tame
tameness: tameness
tangible: tangible
tartary: tartary
taste: taste,tasted
tax: tax,taxed,taxes
teach: taught,teach,teaches,teaching
teachable: teachable
teachableness: teachableness
teaching: teaching
tear: tear,tearing,tears,tore,torn
teat: teats
tedious: tedious
tediousness: tediousness
telescope: telescopes
temper: temper,tempered
temperance: temperance
temperature: temperature
tempest: tempest,tempests
temple: temple
tempt: tempted
temptation: temptation
tempting: tempting
tenant: tenants
tend: tended,tending
tendency: tendency
tender: tender
tenderness: tenderness
teneriffe: teneriffe
tennis: tennis
tense: tenses
tent: tents
tenth: tenth
tenure: tenure
term: term,terms
terminate: terminate,terminated,terminating
terrible: terrible
terribly: terribly
terrified: terrified
terrify: terrify
territory: territory
terror: terror
thames: thames
thankfulness: thankfulness
theatre: theatre
thee: thee
theft: theft
thenceforward: thenceforward
theology: theology
theory: theory
thereabout: thereabouts
thereon: thereon
therewith: therewith
thicket: thicket
thickness: thickness
thief: thieves
thigh: thighs
thimble: thimble,thimbles
thinking: thinking
thirst: thirst
thirteen: thirteen
thither: thither
thomas: thomas
thoughtful: thoughtful
thread: thread,threading,threads
threaten: threatened,threatening
threepence: threepence
threescore: threescore
thrice: thrice
thrift: thrift
thrifty: thrifty
throat: throat,throats
throne: throne
throw: threw,throw,throwing,thrown
thrush: thrush
thrust: thrust,thrusting
thumb: thumb
thunder: thunder
thyme: thyme
thyself: thyself
ticking: ticking
tickle: tickled
tide: tide,tides
tie: tied
tight: tight
tile: tile
tillage: tillage
timber: timber
time: time,times
tincture: tincture
tired: tired
title: title,titles
toad: toad,toads
toast: toasted
tobacco: tobacco
toe: toe
toil: toil
toilet: toilet
token: token,tokens
tolerable: tolerable
tolerably: tolerably
tolerate: tolerate
tom: tom
tomb: tombs
ton: tons
tone: tone
tong: tongs
tongue: tongue,tongues
tool: tools
tooth: teeth,tooth
topic: topics
topmast: topmast
tops: tops
torch: torches
torrent: torrent
tortoise: tortoise
torture: torture,tortured
tory: tory
toss: tossed
touch: touch,touched,touching
tough: tough
tour: tour
tow: tow,towed
towardly: towardly
tower: tower,towers
town: town,towns
toy: toy,toys
trace: trace
tract: tract,tracts
tractable: tractable
trade: trade,traded,trades
trademark: trademark
trader: traders
tradesman: tradesmen
trading: trading
tradition: tradition,traditions
traditional: traditional
traffic: traffic
train: train,trained
traitor: traitor,traitors
traitorously: traitorously
trample: trample,trampled,trampling
tranquillity: tranquillity
transact: transact,transacted
transaction: transactions
transcendental: transcendentals
transcribe: transcribe,transcribed
transcription: transcription
translate: translate,translated
translation: translation,translations
transmit: transmitted
transparent: transparent
transport: transporting,transports
transpose: transposing
trap: trap
travel: travel,travelled,travelling,travels
traveller: traveller,travellers
travelling: travelling
travels: travels
tray: tray
treacherous: treacherous
treachery: treachery
tread: tread,treading,trod
treason: treason
treasure: treasure
treasurer: treasurer
treasury: treasury
treat: treat,treated,treating,treats
treatise: treatise
treatment: treatment
treaty: treaty
treble: treble,trebled
tree: tree,trees
tremble: trembled,trembling
trencher: trencher
trial: trial,trials
triangle: triangle
tribe: tribe,tribes
tribute: tribute
trick: trick,tricks
trickle: trickling
trifle: trifle
trifling: trifling
trinket: trinkets
trip: trip,tripping
triumph: triumph
trod: trod
troop: troop
troops: troops
tropics: tropics
trot: trot,trotted,trotting
trouble: trouble,troubled,troubles
troubled: troubled
troublesome: troublesome
troubling: troubling
trough: trough
true: true,truest
trumpet: trumpet,trumpets
truss: trussed
trust: trust,trusted
trusty: trusty
truth: truth
tube: tube,tubes
tuft: tufts
tug: tugging
tulip: tulips
tumble: tumble,tumbling
tumbril: tumbril
tumour: tumours
tun: tun,tuns
tune: tune,tunes
tunnel: tunnels
turkey: turkey,turkeys
turret: turret
tutor: tutor,tutors
tutus: tutus
tweak: tweak
twelfth: twelfth
twist: twisted,twisting
type: types
tyranny: tyranny
tyrant: tyrant,tyrants
ugly: ugly
unable: unable
unacceptable: unacceptable
unaccountable: unaccountable
unaccountably: unaccountably
unacquainted: unacquainted
unacquaintedness: unacquaintedness
unanimity: unanimity
unanimous: unanimous
unanimously: unanimously
unarmed: unarmed
unartfully: unartfully
unavoidable: unavoidable
unbecoming: unbecoming
unbind: unbound
unbound: unbound
unbrace: unbraced
unbutton: unbuttoned
uncertain: uncertain
unchastity: unchastity
uncle: uncle
uncleanly: uncleanly
uncomfortable: uncomfortable
uncommon: uncommon
unconcerned: unconcerned
uncorrect: uncorrect
uncouth: uncouth
uncover: uncovered
undeceive: undeceive
undeceived: undeceived
undergo: undergo,undergone,underwent
underground: underground
undermine: undermines,undermining
understand: understand,understanding,understood
understanding: understanding,understandings
undertake: undertake,undertaken,undertook
undistinguishing: undistinguishing
undo: undone
undoubtedly: undoubtedly
undress: undress
uneasiness: uneasiness
uneasy: uneasy
unenforceability: unenforceability
unerring: unerring
uneven: uneven
unexpected: unexpected
unfortunate: unfortunate
unhandy: unhandy
unhappily: unhappily
unhappiness: unhappiness
unhappy: unhappy
unharnessed: unharnessed
uniform: uniform
uninhabited: uninhabited
unintelligible: unintelligible
united: united
universal: universal
universally: universally
universe: universe
university: university
unjust: unjust
unjustly: unjustly
unknown: unknown
unlink: unlink
unlock: unlock,unlocked
unluckily: unluckily
unlucky: unlucky
unmoved: unmoved
unnatural: unnatural
unnecessary: unnecessary
unperceived: unperceived
unpleasant: unpleasant
unprotected: unprotected
unqualified: unqualified
unreasonable: unreasonable
unscrew: unscrew
unseasonable: unseasonable
unskilful: unskilful
unskilled: unskilled
unsolicited: unsolicited
unsound: unsound
unspeakable: unspeakable
unteachable: unteachable
untie: untie
unused: unused
unusual: unusual
unversed: unversed
unwary: unwary
unwillingness: unwillingness
unwise: unwise
update: updated
upholsterer: upholsterer
upper: upper
uppermost: uppermost
upright: upright
uproar: uproar
upside: upside
upward: upward
urchin: urchin
urge: urged,urging
urgency: urgency
urine: urine
usage: usage
useless: useless
user: user
usher: usher
usual: usual
usurper: usurpers
ut: ut
utensil: utensils
utmost: utmost
utopia: utopia
utter: utter
utterly: utterly
vacancy: vacancy
vacant: vacant
vain: vain
valet: valet,valets
valour: valour
valuable: valuable
van: van
vanilla: vanilla
vanish: vanished
vanity: vanity
vapours: vapours
variance: variance
variation: variations
varied: varied
variety: variety
variously: variously
varlet: varlet
vary: vary,varying
vassal: vassal
vast: vast
vault: vaulted,vaults
veal: veal
vegetable: vegetables
vehemence: vehemence
vehemently: vehemently
vehicle: vehicle,vehicles
vein: veins
vend: vend
venerable: venerable
veneration: veneration
venice: venice
venture: venture,ventured,venturing
veracity: veracity
verb: verbs
verbal: verbal
verge: verge
verify: verify
verily: verily
vermin: vermin
vernal: vernal
versailles: versailles
verse: verse,versed,verses
version: version
vertical: vertical
vertigo: vertigos
vessel: vessel,vessels
vex: vexed
vexation: vexation
vexatious: vexatious
vial: vials
vice: vice,vices
viceroy: viceroy
vicious: vicious
victor: victor,victors
victorious: victorious
victory: victory
victuals: victuals
view: view,viewed,viewing,views
vigilance: vigilance
vigilant: vigilant
vigour: vigour
vii: vii
viii: viii
vile: vile,vilest
village: village,villages
villain: villains
vindicate: vindicate,vindicated
vindication: vindication
vinegar: vinegar
vineyard: vineyards
violate: violated,violates
violation: violation
violence: violence
violent: violent
violently: violently
virgil: virgil
virtue: virtue,virtues
virtuosi: virtuosi
virtuoso: virtuosos
virtuous: virtuous
virus: virus
visage: visage
viscous: viscous
visible: visible
visibly: visibly
vision: vision,visions
visionary: visionary
visit: visit,visited,visits
vista: vista
vivacity: vivacity
vocabulary: vocabulary
vogue: vogue
voice: voice,voices
void: void,voided
volatile: volatile
volcano: volcanoes
volley: volley
volume: volume,volumes
volunteer: volunteer,volunteers
vomit: vomit
vortex: vortices
vote: vote,votes
voter: voters
voting: voting
voucher: vouchers
vow: vowing
voyage: voyage,voyages
vulgar: vulgar
wade: waded,wading
wafer: wafer
waft: wafted
wag: wagging
wages: wages
waggoner: waggoners
waist: waist
waistband: waistband
waistcoat: waistcoat
wait: wait,waited,waiting
waiter: waiters
waiting: waiting
wake: waked,waking
walk: walk,walked,walking,walks
walking: walking
wall: wall,walls
walled: walled
wallow: wallowing
wander: wandered
wapping: wapping
war: war,wars
warden: warden
warm: warm
warn: warning
warning: warning
warrant: warrant
warranty: warranties,warranty
warrior: warriors
wash: washed,washing
wasp: wasp,wasps
waste: waste,wasted
watch: watch,watched,watching
watchful: watchful
water: water
wattle: wattled,wattles
wave: wave,waved,waves,waving
weak: weak,weaker,weakest
weaken: weakened
weakness: weakness
weal: weal
wealth: wealth
wealthy: wealthiest
weapon: weapons
wear: wear,wore,worn
weariness: weariness
weary: weary
weasel: weasel,weasels
weather: weather
weathercock: weathercock
weave: weave,wove
weaver: weaver,weavers
wedge: wedged,wedges
wednesday: wednesday
weed: weed,weeded
week: week,weeks
weekly: weekly
weep: weeping
weigh: weigh
weight: weight,weights
weighty: weighty
welch: welch
wen: wen
wench: wench
west: west
westerly: westerly
western: western
westminster: westminster
westward: westward
wet: wet,wetting
whale: whale,whales
whatsoever: whatsoever
wheel: wheel,wheels
whereat: whereat
whereof: whereof
wherewith: wherewith
wherry: wherry
whey: whey
whig: whig
whip: whip,whipped
whipping: whipping
whipt: whipt
whisper: whisper,whispered,whispering
whistle: whistle,whistling
white: white,whiter,whitest
whiteness: whiteness
wholesome: wholesome
wholesomer: wholesomer
wholly: wholly
whore: whore,whores
whoremonger: whoremonger
whoring: whoring
wide: wide,widest
wideness: wideness
widespread: widespread
widow: widow
wife: wife,wives
wight: wight
wild: wild
wildly: wildly
wilful: wilful
wilfulness: wilfulness
william: william
williams: williams
willingly: willingly
wind: wind,winds
window: window,windows
windward: windward
windy: windy
wine: wine
wing: wing,wings
wink: winked
winnow: winnow
winter: winter,wintered
wipe: wipe,wiped,wiping
wire: wire,wires
wisdom: wisdom
wise: wise,wiser,wisest
wisp: wisp
wistful: wistful
wit: wit,wits
withdraw: withdraw,withdrew
withe: withes
wither: withered
witness: witness,witnesses
woful: woful
wolf: wolves
woman: woman,women
womankind: womankind
wonderful: wonderful
wood: wood,woods
wooden: wooden
woodman: woodmen
woody: woody
wool: wool
woollen: woollen
word: word
workman: workman,workmen
workmanship: workmanship
worm: worms
worship: worships
worth: worth
worthy: worthy
wound: wound,wounded,wounds
wrap: wrapped
wrench: wrench
wrestle: wrestle
wretched: wretched
wring: wrung
wrist: wrist
writ: writ
write: write,writing,written,wrote
writer: writer,writers
writing: writing
writings: writings
wrong: wrong,wronged
xi: xi
xii: xii
yahoo: yahoo,yahoos
yard: yard,yards
yellow: yellow
yeoman: yeoman,yeomen
yerk: yerks
yield: yield,yielded,yields
youth: youth
zeal: zeal
zealot: zealots
zealous: zealous
zenith: zenith
zodiac: zodiac
