abandon: abandoned,abandons
thief: thief,thieves
thinker: thinker
thinking: thinking
thinness: thinness
thither: thither
thoroughfare: thoroughfare
thoughtful: thoughtful
thoughtfully: thoughtfully
thoughtless: thoughtless
thread: thread
threat: threat,threats
threaten: threaten,threatened,threatening,threatens
threshold: threshold,thresholds
thrill: thrill
thrilling: thrilling
throat: throat,throats
throb: throbbed,throbbing
throw: threw,throw,throwing,thrown,throws
throwing: throwing
thrust: thrust,thrusting
thud: thud
thudding: thudding
thumb: thumb
thump: thumped
thursday: thursday
tiara: tiara
tick: ticking
ticket: ticket,tickets
tide: tide
tidy: tidy
tie: tie,tied,tying
tiger: tiger
tight: tight
tightly: tightly
tilt: tilted
timbered: timbered
time: time,times
times: times
timid: timid
tin: tin
tinge: tinge,tinged
tinker: tinker
tint: tint
tinted: tinted
tiny: tiniest,tiny
tiptoe: tiptoes
tire: tire
tired: tired
tissue: tissue
title: title
toast: toast
tobacco: tobacco
tobacconist: tobacconist
toe: toe
token: token
toller: toller
tollers: tollers
tomboy: tomboy
tomfoolery: tomfoolery
ton: tons
tone: tone,tones
tong: tongs
tongue: tongue
tonnage: tonnage
tool: tool,tools
tooth: teeth,tooth
topic: topic
tortured: tortured
toss: tossed,tossing
total: total
totter: tottering
touch: touch,touched,touching
tout: tout
tower: tower
town: town,towns
toy: toy
trace: trace,traced,traces
track: track,tracks
trade: trade
trademark: trademark
tradesman: tradesman,tradesmen
tradespeople: tradespeople
tradition: traditions
traffic: traffic
tragedy: tragedy
tragic: tragic
trail: trail
train: train,trained,trains
training: training
tramp: tramped
trample: trampled
trampled: trampled
transaction: transaction
transcribe: transcribe
transcription: transcription
transfer: transferred
transform: transform,transformed
transformer: transformer
transition: transition
transmit: transmit
transparent: transparent
transpire: transpired
transverse: transverse
trap: trap
travel: travel,travelled,travelling,travels
traveller: traveller,travellers
travelling: travelling
tray: tray
treachery: treachery
tread: tread
treasure: treasure
treat: treat,treated
treatise: treatises
treatment: treatment
treble: treble
tree: tree,trees
tremble: trembling
tremor: tremor
trespasser: trespasser
tress: tresses
trial: trials
triangular: triangular
trick: trick,tricked,tricks
tricky: tricky
trifle: trifle,trifles,trifling
trifling: trifling
trim: trim,trimmed
trimly: trimly
trip: trip
trite: trite
triumph: triumph
triumphant: triumphant
trivial: trivial
troop: trooped
trooper: troopers
trophy: trophy
tropics: tropics
trouble: trouble,troubled,troubles
troubling: troubling
trough: trough
trouser: trouser
trousers: trousers
trout: trout
trove: trove
true: true
trumpet: trumpet
trunk: trunk,trunks
trust: trust,trusted
trustee: trustees
trusty: trusty
truth: truth
tube: tube,tubes
tuck: tucked
tudor: tudor
tuesday: tuesday
tug: tug,tugged,tugging
tumble: tumbled
tumbler: tumbler
tumultuously: tumultuously
tune: tune,tunes
tunnel: tunnel,tunnels
turf: turf
turkish: turkish
turner: turner
tut: tut
tweed: tweed
twentieth: twentieth
twig: twig
twilight: twilight
twin: twins
twinkle: twinkle,twinkled,twinkling
twist: twist,twisted
twisted: twisted
twitch: twitch
twitching: twitching
twitter: twitter
twopence: twopence
type: type,types
typewrite: typewrite,typewriting,typewritten
typewriter: typewriter
typewriting: typewriting
typewritten: typewritten
ugliness: ugliness
ugly: ugly
ulster: ulster,ulsters
ultimate: ultimate
umbrella: umbrella
unable: unable
unacquainted: unacquainted
unapproachable: unapproachable
unavenged: unavenged
unbreakable: unbreakable
unburned: unburned
unbuttoned: unbuttoned
uncarpeted: uncarpeted
uncertain: uncertain
unclasping: unclasping
uncle: uncle
uncomfortable: uncomfortable
uncommon: uncommon
uncompromising: uncompromising
unconcerned: unconcerned
uncongenial: uncongenial
unconscious: unconscious
uncontrollable: uncontrollable
uncourteous: uncourteous
uncouth: uncouth
uncover: uncovered
undated: undated
undergo: undergo
underground: underground
understand: understand,understood
understanding: understanding
undertake: undertake
undertaking: undertaking
undo: undid,undo
undoubtedly: undoubtedly
undue: undue
uneasiness: uneasiness
uneasy: uneasy
unenforceability: unenforceability
unexpected: unexpected
unfailingly: unfailingly
unfeigned: unfeigned
unfenced: unfenced
unfettered: unfettered
unfinished: unfinished
unforeseen: unforeseen
unfortunate: unfortunate
ungenerously: ungenerously
ungovernable: ungovernable
ungrateful: ungrateful
unhappy: unhappy
unhealthy: unhealthy
unheeded: unheeded
uniform: uniform
unimpeachable: unimpeachable
unimportant: unimportant
union: union
unique: unique
united: united
unkempt: unkempt
unknown: unknown
unlink: unlink
unlock: unlocked,unlocking
unmarried: unmarried
unmistakable: unmistakable
unnatural: unnatural
unnecessary: unnecessary
unnoticed: unnoticed
unobservant: unobservant
unobserved: unobserved
unofficial: unofficial
unopened: unopened
unpack: unpack,unpacked
unpapered: unpapered
unpleasant: unpleasant
unpleasantness: unpleasantness
unprecedented: unprecedented
unprofitable: unprofitable
unprotected: unprotected
unravel: unravel,unravelled,unravelling
unreasoning: unreasoning
unrepaired: unrepaired
unseat: unseat
unsolicited: unsolicited
unsolved: unsolved
unsystematic: unsystematic
untame: untamed
unthinkable: unthinkable
untimely: untimely
unusual: unusual
unusually: unusually
unwelcome: unwelcome
unwind: unwound
unwise: unwise
upbraid: upbraided
update: updated
upper: upper
uppermost: uppermost
upraise: upraised
uproar: uproar
upset: upset
upstairs: upstairs
upward: upward
urge: urged,urging
urgency: urgency
urgent: urgent
usage: usage
useless: useless
user: user
usher: ushered,ushering
usual: usual
ut: ut
utilise: utilise
utmost: utmost
utter: utter,uttered,uttering
utterly: utterly
vacancy: vacancies,vacancy
vacant: vacant
vacantly: vacantly
vacuous: vacuous
vagabond: vagabond,vagabonds
vague: vague
vagueness: vagueness
vain: vain
vainly: vainly
valet: valet
valid: valid
valise: valise
valley: valley
valuable: valuable
van: van
vanilla: vanilla
vanish: vanish,vanished,vanishes,vanishing
variable: variable
varied: varied
variety: varieties,variety
vary: varied,vary
vault: vault
vegetable: vegetables
vegetarian: vegetarian
vehemence: vehemence
vehicle: vehicle
veil: veil,veiled
vein: veins
velvet: velvet
vengeance: vengeance
venner: venner
venomous: venomous
ventilate: ventilate
ventilator: ventilator,ventilators
venture: venture,ventured
verb: verbs
verbatim: verbatim
verdict: verdict
verge: verge
verify: verify
version: version
vessel: vessel,vessels
vesta: vestas
vestige: vestige
vestry: vestry
vex: vex
vice: vice
victim: victim
victor: victor
victoria: victoria
victory: victory
view: view,viewed,viewing,views
vigil: vigil
vigorously: vigorously
vii: vii
viii: viii
vile: vile,vilest
villa: villa,villas
village: village,villages
villager: villagers
villain: villain,villains
villainy: villainy
vincent: vincent
violate: violates
violence: violence
violent: violent
violet: violet
violin: violin
virtue: virtue,virtues
virus: virus
visible: visible
visit: visit,visited,visiting,visits
visitor: visitor,visitors
vital: vital
vitriol: vitriol
vivid: vivid
vizard: vizard
voice: voice,voices
void: void
volcanic: volcanic
volley: volley
volume: volume,volumes
volunteer: volunteer,volunteered,volunteers
von: von
voraciously: voraciously
vote: vote
voter: voters
vouch: vouching
vow: vows
vulgar: vulgar
vulnerable: vulnerable
wadding: wadding
waddle: waddling
wager: wager
wages: wages
waggle: waggled
wagon: wagon,wagons
waist: waist
waistcoat: waistcoat
wait: wait,waited,waiting
waiter: waiter
waiting: waiting
wake: wake,woke
walk: walk,walked,walking,walks
walking: walking
wall: wall,walls
wallow: wallowed
wander: wander,wandered,wandering
wane: waned
war: war
wardrobe: wardrobe
warehouse: warehouse
warm: warm,warmed,warmest
warmly: warmly
warmth: warmth
warn: warn,warned
warning: warning,warnings
warranty: warranties,warranty
warren: warren
warsaw: warsaw
wash: wash,washing
waste: waste,wasted
wasteful: wasteful
watch: watch,watched,watching
water: water,watered,waters
waterloo: waterloo
waterproof: waterproof
watson: watson
wave: wave,waved,waves,waving
waver: wavering
wax: wax,waxed
waylaid: waylaid
waylay: waylaid
wayside: wayside
wayward: wayward
weak: weak,weaker
weaken: weaken
weakening: weakening
weakness: weakness,weaknesses
wealth: wealth
wealthy: wealthy
weapon: weapon
wear: wear,wearing,wears,wore,worn
wearer: wearer
weariness: weariness
wearisome: wearisome
weary: weary
weather: weather
weave: weave,woven
weaver: weaver
wedding: wedding
wedge: wedged
wedlock: wedlock
wednesday: wednesday
wee: wee
weed: weed
weedy: weedy
week: week,weeks
weekly: weekly
weigh: weigh,weighed,weighing
weight: weight,weighted
weighted: weighted
weird: weird
wellington: wellington
west: west
westaway: westaway
western: western
westward: westward
wet: wet
wharf: wharf,wharves
whatsoever: whatsoever
wheal: wheal
wheel: wheel,wheeled,wheels
wheeler: wheeler
whereabouts: whereabouts
whimsical: whimsical
whine: whine,whined
whip: whip
whipcord: whipcord
whirl: whirling
whish: whishing
whisker: whiskers
whiskered: whiskered
whisky: whisky
whisper: whisper,whispered,whispering
whistle: whistle,whistled,whistles
white: white,whiter
whiten: whiten
whitewashed: whitewashed
whitney: whitney
whoa: whoa
wholesome: wholesome
whoso: whoso
wicked: wicked
wickedness: wickedness
wicker: wicker
wicket: wicket
wide: wide,widest
widen: widened
widespread: widespread
widow: widow
widower: widower
wife: wife,wives
wig: wig,wigs
wight: wight
wild: wild
wilderness: wilderness
wilful: wilful
wilhelm: wilhelm
william: william
willingly: willingly
willows: willows
wilson: wilson
wilton: wilton
win: win
wince: winced,wincing
winchester: winchester
wind: wind,winding,winds,wound
windfall: windfall
window: window,windows
windowsill: windowsill
wine: wine,wines
wing: wing,wings
wink: wink,winking
winter: winter
wintry: wintry
wire: wire,wired
wiry: wiry
wisdom: wisdom
wise: wiser
wisely: wisely
wisp: wisp
wit: wit,wits
withdraw: withdraw,withdrawn
witness: witness,witnesses
witted: witted
woman: woman,women
womanhood: womanhood
womanly: womanly
wonderful: wonderful
wonderfully: wonderfully
woo: wooing
wood: wood,woods
woodcock: woodcock
wooded: wooded
wooden: wooden
word: word
worker: worker
workman: workmen
worm: worm,worms
worn: worn
worry: worry,worrying
worrying: worrying
worth: worth
worthless: worthless
worthy: worthy
wound: wound
wounded: wounded
wrack: wrack
wrap: wrapped
wreath: wreath,wreaths
wreck: wreck
wrench: wrenching
wretch: wretch
wretched: wretched
wriggle: wriggled
wring: wrung
wrinkle: wrinkled,wrinkles
wrist: wrist,wrists
writ: writ
write: write,writes,writing,written,wrote
writer: writer,writers
writhe: writhed,writhing
writing: writing
writings: writings
wrong: wrong,wronged
wrongfully: wrongfully
xi: xi
xii: xii
yard: yard,yards
yawn: yawn,yawning
yell: yell,yelled
yellow: yellow
yesterday: yesterday
yonder: yonder
youngster: youngster
youth: youth
zealand: zealand
zest: zest
zigzag: zigzag
